Time_Enquired,QueryId,ResultIds,Status,Feedback
14/8/23 9:32,1e243da5-38ae-4489-9aad-9d0427930bcf,"['1e243da5-38ae-4489-9aad-9d0427930bcf-ccefeeb2-5afd-4811-ae40-61980129d775', '1e243da5-38ae-4489-9aad-9d0427930bcf-451245c2-9656-44b9-bf22-aa972abc6c99', '1e243da5-38ae-4489-9aad-9d0427930bcf-1074f421-4a85-48cc-968d-51b527a3489c', '1e243da5-38ae-4489-9aad-9d0427930bcf-7c15db74-4e7e-4b00-bd62-bdab7969e78e', '1e243da5-38ae-4489-9aad-9d0427930bcf-2e1461ef-4743-40cc-ab7c-ccd48128f57f', '1e243da5-38ae-4489-9aad-9d0427930bcf-6f5c026a-1d47-4979-a50c-241f00b71ff0', '1e243da5-38ae-4489-9aad-9d0427930bcf-41eaca77-9b02-49c9-b657-7f6150595025', '1e243da5-38ae-4489-9aad-9d0427930bcf-24ee0d16-82e4-46a0-b051-3a50081505bc', '1e243da5-38ae-4489-9aad-9d0427930bcf-bf9791b4-37b9-4343-9ef6-a8906211b8ab', '1e243da5-38ae-4489-9aad-9d0427930bcf-29a959aa-f9e4-4e31-937e-8f87c2604b94']",RELEVANT,"{'ResponseMetadata': {'RequestId': '21c480c1-2c4a-4eda-89cc-6b10b1143f5d', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '21c480c1-2c4a-4eda-89cc-6b10b1143f5d', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 01:32:24 GMT'}, 'RetryAttempts': 0}}"
14/8/23 9:32,1e243da5-38ae-4489-9aad-9d0427930bcf,"['1e243da5-38ae-4489-9aad-9d0427930bcf-ccefeeb2-5afd-4811-ae40-61980129d775', '1e243da5-38ae-4489-9aad-9d0427930bcf-451245c2-9656-44b9-bf22-aa972abc6c99', '1e243da5-38ae-4489-9aad-9d0427930bcf-1074f421-4a85-48cc-968d-51b527a3489c', '1e243da5-38ae-4489-9aad-9d0427930bcf-7c15db74-4e7e-4b00-bd62-bdab7969e78e', '1e243da5-38ae-4489-9aad-9d0427930bcf-2e1461ef-4743-40cc-ab7c-ccd48128f57f', '1e243da5-38ae-4489-9aad-9d0427930bcf-6f5c026a-1d47-4979-a50c-241f00b71ff0', '1e243da5-38ae-4489-9aad-9d0427930bcf-41eaca77-9b02-49c9-b657-7f6150595025', '1e243da5-38ae-4489-9aad-9d0427930bcf-24ee0d16-82e4-46a0-b051-3a50081505bc', '1e243da5-38ae-4489-9aad-9d0427930bcf-bf9791b4-37b9-4343-9ef6-a8906211b8ab', '1e243da5-38ae-4489-9aad-9d0427930bcf-29a959aa-f9e4-4e31-937e-8f87c2604b94']",RELEVANT,"{'ResponseMetadata': {'RequestId': 'edc4d150-1d1f-4d28-809d-079257a5b64a', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'edc4d150-1d1f-4d28-809d-079257a5b64a', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 01:32:27 GMT'}, 'RetryAttempts': 0}}"
14/8/23 9:33,a8f22637-7ef6-428b-a167-9c73bb40736e,"['a8f22637-7ef6-428b-a167-9c73bb40736e-c575c0f7-60d2-4173-b594-56a1890acf0c', 'a8f22637-7ef6-428b-a167-9c73bb40736e-2a52418a-4222-4376-a743-af02adb62bed', 'a8f22637-7ef6-428b-a167-9c73bb40736e-a5093cec-96a8-4869-a2cd-a1d1c0c5291a', 'a8f22637-7ef6-428b-a167-9c73bb40736e-115bcb8a-1712-43db-9ff1-071b85c66f8f', 'a8f22637-7ef6-428b-a167-9c73bb40736e-5e129d9f-6780-4940-8f29-46451a53750e', 'a8f22637-7ef6-428b-a167-9c73bb40736e-a759b789-1592-4acb-b4e3-cba5cf0f8348', 'a8f22637-7ef6-428b-a167-9c73bb40736e-2939c146-af6a-42ba-9a5c-f5516bb6eddc', 'a8f22637-7ef6-428b-a167-9c73bb40736e-2bf7c989-dce3-43b1-8cd8-bf83bc7dfab8', 'a8f22637-7ef6-428b-a167-9c73bb40736e-d4eae72a-d224-4497-a7c8-cbf912371a15', 'a8f22637-7ef6-428b-a167-9c73bb40736e-6d919179-2cf9-41bf-a89b-313bbad9cf68']",NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '3f585320-d16a-4284-b20e-2d2489d2ba76', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '3f585320-d16a-4284-b20e-2d2489d2ba76', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 01:33:52 GMT'}, 'RetryAttempts': 0}}"
14/8/23 9:40,8050133d-b8fb-4753-bb8d-102f94a68a0b,"['8050133d-b8fb-4753-bb8d-102f94a68a0b-2bf18ffb-c9a8-4ad0-80dd-09bd18c66430', '8050133d-b8fb-4753-bb8d-102f94a68a0b-d0008b72-cee0-4a45-a6c8-dfe45bd7103f', '8050133d-b8fb-4753-bb8d-102f94a68a0b-80798874-20e9-4396-a6ab-61c82011e274', '8050133d-b8fb-4753-bb8d-102f94a68a0b-61a4960c-2fc8-465f-b50b-3633dc985e6f', '8050133d-b8fb-4753-bb8d-102f94a68a0b-a18af45f-1342-486f-b7d5-c9a59b0ab7c9', '8050133d-b8fb-4753-bb8d-102f94a68a0b-3d873451-7dd8-4dc6-b99a-226e08af80e5', '8050133d-b8fb-4753-bb8d-102f94a68a0b-43d9fe06-455e-4de9-bd99-f16e66e826d3', '8050133d-b8fb-4753-bb8d-102f94a68a0b-8a7d9ee6-55f7-4ad4-b5fc-6547a3f5d711', '8050133d-b8fb-4753-bb8d-102f94a68a0b-4d416f05-678c-4b88-99cc-8a39a239a803', '8050133d-b8fb-4753-bb8d-102f94a68a0b-86a2a216-3e57-4c74-8b17-0c5f75d526e5']",NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '537960b1-7840-4e2d-b823-1e63bc2f3be4', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '537960b1-7840-4e2d-b823-1e63bc2f3be4', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 01:40:52 GMT'}, 'RetryAttempts': 0}}"
14/8/23 10:03,3adef70b-60d1-48d0-a2b0-347bcdd1fb64,"['3adef70b-60d1-48d0-a2b0-347bcdd1fb64-7b7c283c-7e81-4370-8b7f-b863b08579cc', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-aada5456-c038-4913-9c9a-3e8086a620f5', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-4d90eb59-dba0-4459-ade4-4316e8bd1357', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-8725fab2-6957-4fe4-9d8e-79659d375e20', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-2119fa66-8b1b-4bbd-b5ab-8f25e805d522', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-bd5b2f52-6b98-45dc-93df-871061ca3933', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-4722d569-0129-439e-a032-355fe36247e4', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-3bcc7ea3-cc04-4a68-a6b3-c372453a3c30', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-e1879211-6acc-437b-b143-a976ad0dcfec', '3adef70b-60d1-48d0-a2b0-347bcdd1fb64-8fc768b3-5bb2-4ea8-a9c9-ac5cc847f386']",RELEVANT,"{'ResponseMetadata': {'RequestId': 'fb71f55c-3b46-4d79-8cca-0f798455f753', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fb71f55c-3b46-4d79-8cca-0f798455f753', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 02:03:17 GMT'}, 'RetryAttempts': 0}}"
14/8/23 10:57,edeb4303-2426-4cf2-8327-d77b245b4a02,['edeb4303-2426-4cf2-8327-d77b245b4a02-91c41884-5057-4a8b-a6eb-a72ee5b2e2af'],RELEVANT,"{'ResponseMetadata': {'RequestId': 'fd31a05f-34ef-4bcf-8fed-5fc9a7bef494', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fd31a05f-34ef-4bcf-8fed-5fc9a7bef494', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 02:57:57 GMT'}, 'RetryAttempts': 0}}"2023-08-14 11:03:49,3e1ef957-4147-4a6d-8895-d3139d31a110,['3e1ef957-4147-4a6d-8895-d3139d31a110-8d8f8997-546b-48bf-a45c-1b1ccffc2354'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'd5986bb2-a5bc-41c9-a60f-d24cb694fb3e', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd5986bb2-a5bc-41c9-a60f-d24cb694fb3e', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:03:48 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:16:43,ae3aa3d2-9012-4893-8468-fd5d8a564637,['ae3aa3d2-9012-4893-8468-fd5d8a564637-45b15a4b-c2d3-4a3b-8437-8320906b0a53'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': 'ed802f10-5fcb-437e-8cc8-3da0be7f71ca', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ed802f10-5fcb-437e-8cc8-3da0be7f71ca', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:16:42 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:30:53,de98c24c-c5d7-4c67-b462-f5e434a91b07,['de98c24c-c5d7-4c67-b462-f5e434a91b07-c9819a4c-0d5c-43aa-9583-68b31c4eac5a'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '4b89334e-7e61-4e6f-ba9f-7f2ffedf633e', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '4b89334e-7e61-4e6f-ba9f-7f2ffedf633e', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:30:52 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:32:07,49acdfe9-85a0-47be-918c-e033dd35d5e1,['49acdfe9-85a0-47be-918c-e033dd35d5e1-1e924a9f-d7a8-4bcb-96b6-c64b5edf7c9f'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '116094eb-ffc3-4716-a34b-ec8fa4b64a56', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '116094eb-ffc3-4716-a34b-ec8fa4b64a56', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:32:06 GMT'}, 'RetryAttempts': 0}}"
2023-08-14 11:32:58,e82e84a4-b4a6-4d82-b240-dcd86f1fb1fa,['e82e84a4-b4a6-4d82-b240-dcd86f1fb1fa-72c10707-f7c2-44a4-bb3b-dfaff5bd225f'],NOT_RELEVANT,"{'ResponseMetadata': {'RequestId': '6acf5ed1-bef3-43a5-8311-fd16a001621b', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '6acf5ed1-bef3-43a5-8311-fd16a001621b', 'content-type': 'application/x-amz-json-1.1', 'content-length': '0', 'date': 'Mon, 14 Aug 2023 03:32:58 GMT'}, 'RetryAttempts': 0}}"
